graph,Question,Essay,image_number,Type,argument_clarity(ground_truth),justifying_persuasiveness(ground_truth),organizational_structure(ground_truth),coherence(ground_truth),essay_length(ground_truth),grammatical_accuracy(ground_truth),grammatical_diversity(ground_truth),lexical_accuracy(ground_truth),lexical_diversity(ground_truth),punctuation_accuracy(ground_truth)
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87104.png,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie graphs illustrate the amount of time spent by a working class on six different activities (working, relaxing at home, sleeping, travel to work, going out, and others interests) in a country in the year 1958 and 2008.
Overall, the percentage of time spent on all activities had increased in 50 years but going out with friends and sleeping shows a decrease in 2008 as compare to 1958.
In 1958, people spent one-third of the time working, which increased in 2008 by 9% and it remained the top priority among working adults. However, people spent the least time on travelling to work in 1958, which was 2% though by 2008 people started spending 8% of their time commuting to work.
It is evident from both the graphs that people spent almost one-fifth of the time with their family and friends in 1958 which was the third most time-consuming activity. On the contrary, in 2008, this activity became the least preferred activity with only 6% of the time. People also deprived of their sleep in 2008 as it decreased from 32% to 25%.",multi_image,pie_chart,4,3.5,4,4,4.5,3.5,3.5,3.5,3,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87104.png,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie charts illustrate the proporation of time cost by different activities for the working adults in a certain nation in 1958 and 2008.
Looking from an overall perspective, the percentage of time spent on working, relaxing at home and other interests or playing sports were increased in the given years. However, the time of other three activities consumed were decreased at the same time.
In terms of the events which experienced an increasement of time, the percentage of time of working rised 9 percent, up to 42 percentage in 2008 and become the most time-consuming activity. The activities of relaxing at home and other interests or playing sports were seperately increased 5 percentage and 2 percentage in terms of time consuming.
As regards to going out, travel to work and sleeping activities, they were all decreased in different percentage of time. The most noticiable one was going out with friends or family, which dramatically droped from 19 percentage to 6 percentage, approximately one third of the former proporation in 1958. As for the percentage of sleeping and travel to work, they were both declined over the given fifty years.",multi_image,pie_chart,4,4,3,4,4,3,2.5,2.5,3,3
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87104.png,The pie charts below show the percentage of time working adults spent on different activities in a particular country in 1958 and 2008. Summarise the information by selecting and reporting the main features and make comparisons where relevantYou should write at least 150 words.,"The pie charts indicate how the proportion of time changes in spending on different activities from working adults in a country in the years 1958 and 2008.
Overall, while it can be seen that working was the most important event occupied a majority of the percentage of time either 1958 or 2008, the amount of time on sleeping decreased obviously in 2008.
First, most of the researched events occupied more time than in the past. Working is one of the events presenting the most serious situation and it took 33% in 1958, increasing to 42% in 2008. Moreover, adult workers in this country were more likely to travel to work, presenting 8% in 2008 from only 2% in 1958. Besides working, citizens tended to relax at home spending 13% of the time on this event, and in which people take 8% of their time in 1958.
However, the harder working, the less time was spent in rest. Working adults spent 25% of sleep in 2008, while they spent 32% in 1958. Also, they reduce the time spending in going out with their friends or families, spending only 6% in 1958 from 19% in 1958.",multi_image,pie_chart,4,3,3.5,3.5,5,3,4,4,3,3.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"The provided picture illustrates how rain water is reclyced, processed and turned into drinking water in an Australian town.
Overall, information given from the diagram below depicts rain water is collected from the roof of the houses and then it passes through many different steps, each with its specific function, before turning back as drinking water into houses.
In particular, when it rains on steep roofs, water pours down on one side and it is therefore collected by a drain, which leads to a large underground pipe, connecting all houses. Water is then sent to a water filter, which roughly purify water from dust, pebbles and other bigger particles.
Subsequently, water is collected into a giant underground storage, waiting to be sent into the water treatment tank. In there, chemicals are added into the water to make it potable. Finally, drinking water is sent back to houses through a piping system.",single_image,flow_chart,4,4,4,4.5,5,4,4,4,3.5,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"The process diagram below depicts how rain water is installed to be collected and then treated to finally be used as drinkable water in some town in Australia.
Overall, it is clearly can be seen that the proccess consists of five sequential stages starting from collecting rain drops to ultimatley be usable in houses.
Firstly, rain water slides into the drain from the house roof, through drains, rain water is shortly transffered to water filter, there where water is purified from pollutants and undesirable substances. After that, the filtered water goes through a pipe that leads to a huge square-shaped storage then immediatley go through another pipe to be treated. The water treatment includs chemical substances that are pumped to be mixed with water in order to be completly clean. After the box is filled to the top, purified water will be pumped to the house and ultimatley be utilized by human consumption.",single_image,flow_chart,3,3,3.5,3.5,4,2,3,3,3,3.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"The graph illustrates the process of transforming rainwater into drinking water in a city in Australia.
Overall, it can be clearly seen that rainwater undergoes five sequential steps to become domestic tap water, ready to be used in the house.
Firstly, roof drainage is installed for the collection of rainwater. When it rains, the water moves along the roof drainage, and pipes lead into the water filter. Next, the water filter removes basic pollutants, such as leaves and sediments, and begins the first step of water purification. After that, the water flows into a large square water storage tank and then inflows to the next tank for treatment. When enough rainwater enters the treatment tank, chemical substances are injected through a small device on top of the tank to sterilize and ensure the safety of water quality. Once the water is fully purified, it is pumped into the house as a source of drinking water.",single_image,flow_chart,4.5,4,4,5,5,4,4.5,4.5,4,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"The diagram illustrates the way in which drinking water is produced from rain water.
Overall, converting water from nature into those for human daily use is a cyclical process that consists of collecting, filtering, storing, chemical treating and making the new product for reuse.
After falling from the rooftop, the water is collected by the gutter, following the direction in the drain underground. Once there, the water has to undergo the filter, which mechanically removes its impurities. This is the initial cleaning step for rainwater.
The water is then poured into a storage tank, waiting for the next cleaning experience. In this stage, it is transported to the water treatment. Chemicals are essential for this process as they will deeply remove the residue that cannot be washed by the water filter and make water fit for consumption. Finally, the water experiencing double cleaning process, is delivered to households for different daily utilization. And once it is used and becomes rain, it goes through the recycling process all over again.",single_image,flow_chart,4,3.5,4,3.5,5,4,4,4,4,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"Information is presented in a diagram which depicts the main steps of rainwater treatment with the aim to produce drinking water in a particular town in Australia.
Overall, it can be clearly seen that the process involves a number of complex stages starting from collecting rainwater, purification until getting the water as a final product.
At the beginning of the process, rainwater is drained from a roof through a tube which is attached to each house. Then the water flow through the tube to a three-layer water filter which is the first step of water purification. After that, the filtered water is kept in a storage tank which is connected to a water treatment tank. As the water in the storage flows into the water treatment tank, it is mixed with chemicals, making this step as the final part of the process. Once the water is mixed, it flows from the water treatment tank to each house and is ready for drinking.",single_image,flow_chart,5,3,4,3.5,5,4.5,4.5,4.5,3,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data1/%E5%9B%BE%E7%89%8741.png,The diagram below shows how rain water is collected and then treated to be used as drinking water in an Australian town. Summarise the information by selecting and reporting the main features and make comparisons where relevant.You should write at least 150 words.,"The diagram illustrates collection and treatment of rain water which is later used as driniking water in an Australian town.
As shown in diagram, the rain water is first collected with the help of drainage pipes which is connected to the roof of several house. The water collected through these pipes is later filtered using water filter and stored in the storage tank beneth house.
There is channel which connects storage and water treatment plant which is placed adjectant to the storage tank. Water flows to water treatment tank from the storage tank and is processed real time with the help of chemicals. The structure is mount on the top of the water treatment tank which dispose chemicals in the stored water which is later used as driniking water in the houses of australian town.
To conclude, rain water is collected utilized as drinking water but is filtered twice before that to remove impurities from it.",single_image,flow_chart,3.5,3,3.5,3.5,3.5,2.5,2.5,2.5,2.5,2.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87122.png,"The table describes the changes of people who went for international travel in 1990, 1995, 2000 and 2005. (million).Summarise the information by selecting and reporting the main features and make comparisons where relevant.","Information regarding the millions of overseas journeys from five different regions every five years from 1990 to 2005 is provided in the table.
Overall, it can be seen that the total number of international trips grew substantially over the 15-year period. Of those millions of travels, Europe represented the highest and the Middle East represented the lowest.
One of the most notorious characteristics of the table was the increase in the total of travels from 448.9 million in 1990 to 693.7 million in 2005. European travelled the most during the 15-years period, accounting for 400.2 million in 2005, accounting for around third-fifths of the total. Those in the Middle East went to overseas more too, but they remained with the lowest numbers from 9.8 in 1990 to 15.8 million in 2005.
In Africa, Asia and the pacific regions the international visits experienced growth during the 15 years. The former grew by 10,000 milion and the latter by more than the double in 2005. Similarly, those in America travelled more during the first 10 years, however, they experienced a slight drop of 5 million at the end of the period.",single_image,table,4,3.5,3.5,3.5,4.5,3,3,3,3,3.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87122.png,"The table describes the changes of people who went for international travel in 1990, 1995, 2000 and 2005. (million).Summarise the information by selecting and reporting the main features and make comparisons where relevant.","Information regarding the millions of overseas travels in five countries every five years from 1990 to 2005 is provided by a table.
Overall, it can be seen that travelling overseas increased in total over the years. In four of these countries the trend showed increases. Futhermore, Europeans represented the highest numbers of travels overseas, whereas Middle East represented the lowest.
The total number showed increases throughout the whole period. In 1990, 448.9 million people travelled abroad and at the end of the period it reached to 693.7 in total.
African travellers started with 18.2 million in 1990 and ended with 10.5 million more in 2005. Europeans followed with a same trend, from 280.2 to 400.2 million. Middles East went up from 9.8 to 15.8 million travels in 2005. Asia and pacific travellers also travelled more, starting with 60.2 million in 1990 to more than the double in 2005, 135.8. Americans also increased its number until 2000, from 80.5 to 118.2. However, it was the only country dropping the numbers a little for 5 million in 2005.",single_image,table,4,3,3.5,4,4.5,3.5,3.5,3.5,3,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87122.png,"The table describes the changes of people who went for international travel in 1990, 1995, 2000 and 2005. (million).Summarise the information by selecting and reporting the main features and make comparisons where relevant.","The table compares the changes in the number of international travelers in different regions in the years of 1990, 1995, 2000 and 2005.
It is clear that the total number of international travelers increased in the given 15 year period. However, the increase was the most marked from 1990 to 1995.
In the given statistics, Europeans are the ones who like to travel the most and the middle east is the place where least people went for trips internationally. While Africa and Asia and the Pacific experienced a similar increasing trend of travellers from 1995 to 2005.
In America, people showed a great willingness to travel abroad between 1990 to 1995. But, then the number stayed more or less at the same level till 2005. Likewise, Europe also experienced a significant increase from 1990 to 2000 in travelling abroad. But, after 1995, there was an increase of around 10 million only.
Overall, Europe contributed the most in overseas travel, whereas the Middle East had the least share of overseas travelers.",single_image,table,4,3,4,4,4.5,3.5,4,4,3,4.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%87122.png,"The table describes the changes of people who went for international travel in 1990, 1995, 2000 and 2005. (million).Summarise the information by selecting and reporting the main features and make comparisons where relevant.","The table compares the number of vistors who travel to five international regions during the period of 1990, 1995, 2000 and 2005.
Overall, it is clear that the total number of people travelling in the five areas has gradually increased. Europe obviously received the highest number of vistors compared to the other four areas, while the number of vistors who went to Africa and Middle East are the two latest regions.
It is no doubt that the date of people who travel to Europe was the highest, with 280.2, 390.3, 393.2 and 400.2 million respectively in the four periods. At the same time, the number of people travelling to America took the second place, with 80.5, 112.5, 118.2 and 113.2 million respectively.
For Africa, the number of travellers took the fourth place, with 18.2, 20.8, 26.9 and 28.7 million respectively during the mentioned four years. Moreover, we can see clearly that the number of people who perfer to travel to Middle East was the lowest data, with only 9.8, 11.3, 13.5 and 15.8 million respectively.",single_image,table,4,3.5,3.5,4,4.5,2.5,3,3,3,4
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8767.png,"The first chart below shows the percentages of women and men in a country involved in some kinds of home tasks (cooking, cleaning, pet caring and repairing the house. The second chart shows the amount of time each gender spent on each task per day.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","The two given charts illustrates the houshold work done by male and female of a nation. where firstly, the amount of work done by men and women is measured in percentage, and secondly, the average time devoted to do perform those work is calculated in minutes.
Overall, it can be clearly seen that women performed more tasks in both the given terms then men, Although, men performed House repairs more than women.
Firstly, women performed more household work than men, their main interest was in cooking and cleaning, where 80% of women performed Cooking and 60 percent cleaning, where men were 20% less in both the tasks. However, Tasks like pet care and house repairs male were higher in percentage then female.
Secondly, Ladies performed the mentioned tasks more than men in regards of cooking they spent about 1 hour and 20 min and in cleaning approximately 68 minutes. However, they were equal in pet care, Although men spend close to 20 min minutes in house repair on average basis.",multi_image,bar_chart,3,3,3,3.5,4,3,2.5,2.5,2,3.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8767.png,"The first chart below shows the percentages of women and men in a country involved in some kinds of home tasks (cooking, cleaning, pet caring and repairing the house. The second chart shows the amount of time each gender spent on each task per day.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","Given is the two charts illustrating the proportion of home-making involvement in males and females and their time spent per day on four different sectors in a country.
Overall, cooking not only recorded the largest ratio of the involvement in both genders, but also costed their time the most.
In terms of cooking, the proportion expended the highest amount of population's home immersion, at precisely 60% for men and over four-fifths for women each day, and the most significant amount of time they spent on, at an hour and nearly an hour and a half for males and females respectively. The next highest level belonged to cleaning, with 40% of male section of the society involving in, consuming three quaters of an hour when the ratio of female section accounted at 62% for the former and around 70 minutes for the latter.
What followed was the pet care category, in which women and men shared quite the same amounts on the chore attendance and time utilization. Both genders spent 20 minutes a day for this chore, with the immersion of just over a fifth of male citizens and exactly a fifth of female ones. Finally, the rates of house repair was exhibited the least considerable, in both concerning matters. When 19% of men spent just over a quater of hour for this sectors, one in ten of women involved in this task, with an insignificant amount of time spent per day",multi_image,bar_chart,4,3.5,3.5,4,3.5,3,3,3,3,2.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8767.png,"The first chart below shows the percentages of women and men in a country involved in some kinds of home tasks (cooking, cleaning, pet caring and repairing the house. The second chart shows the amount of time each gender spent on each task per day.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","These two charts illustrate how many men and women are useed doing housework and also how many time they spend on it per day in one particular country. At the first glance, it is clear that the number of femails who are involved in some kinds of home tasks are higer than the figure of men houseworkers, while the percentage of time that people useally spend on this kind of work accounted as proporsionally simmelar.
The first chart depicts that women cooke and clean by 20 per cent more than men, but the latter repairs house more often than the former. Pet caring involve femails and mails approximately the same.
The second chart shows that the number of hours spending by citizens in there household is proportional with first chart figuers. Avarage time to cooking for instance is the same. 80 per cent of women spend 80 minutes per day for cooking. And above 20 per cent of men spend almost 20 minutes for house repairing every day.
Summing up, more women than men deffinately work harde in households in this country.",multi_image,bar_chart,3,2.5,3,3,3.5,2.5,2,2,3,2.5
https://raw.githubusercontent.com/jsu360/MLLM-for-AES/main/graph%20in%20data2/%E5%9B%BE%E7%89%8767.png,"The first chart below shows the percentages of women and men in a country involved in some kinds of home tasks (cooking, cleaning, pet caring and repairing the house. The second chart shows the amount of time each gender spent on each task per day.Summarise the information by selecting and reporting the main features and make comparisons where relevant.","The first chart illustrates percentage of males and females who do cooking, cleaning, pet care and repairing house. The second chart illustrates how much time they spent on the houseworks.
According to the first chart, while females are more dealing with the cooking and cleaning, males are more dealing with house repairs. On the other hand, percentages are quite similar when it come to the pet care. The second chart shows that females are spending more time on cooking and cleaning, while males are speding more time on house repairing, parallel to the first chart. Also it can be seen that males and females are spending equal time on pet care.
Males are approximately 20% less involved to the cooking and cleaning while females are approximately 10% less involved to the house repairs, based on the first chart. Also, it can be seen that females are spending extra 20 minutes while they are cooking, and appoximately extra 15 minutes while they are cleaning.",multi_image,bar_chart,4,3,3,3,5,3,3,3,3,3.5
